Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
f5677435678116ea29d56c9980862e1aab3c1a63,1,1,1,0,0,3,5907,0,1,493,1,453,1.62E-05,0,0
5395cd93bd19994e59e62256025c8ace732175bd,1,1,1,0,5,1,5903,0,1,64113,1,452,1.62E-05,0,0
ca4e811a033e35b6934ec28dc1f61fd54e9bb147,1,1,1,0,6,1,148,0,1,47042,1,451,1.62E-05,0,0
08e06f429b268d3849c746a019f471c18e14c5c9,1,1,1,0,0,1,9466,0,0,0,0,42,3.90E-05,0,0
3057d9c073080a27cf1db9539170731d7b052e9a,1,1,1,0,2,1,807,0,1,1645,1,41,3.94E-05,0,0
cded6f40a63ff408db1ad6c05274894685b9e959,1,1,1,0,0,1,808,0,1,423,1,40,4.03E-05,0,0
36b5982fd584d153b169a4c88f82c6a5f4f6aee6,1,1,2,0.863120569,3,4,823,0,1,16400.5,2,39,4.06E-05,0,0
89435abcc380c2580718f47db9300489fbb7bff7,1,1,3,0.685042803,87,8,34195,0,1,17545,2,38,4.11E-05,0,0
f916fe06c212b0bc16a7a378fc5ea9c9bbe8ac5d,1,1,2,1,2,2,823,0,1,4612,2,37,2.88E-05,0,0
d4f05e8087661e0b7c4987eac83b2101b323d106,1,1,4,1.49111485,22,22,5329,0,1,117583,4,36,2.66E-05,0,0
88ae3276a17332c0e334f16a49135cab67c6e8c0,1,1,3,1.5058231,10,5,10357,0,2,75405,3,35,2.45E-05,0,0
0a4f8637ac85eac11a0a74902080cb25be77340d,1,1,1,0,1,1,87,0,1,4129,1,34,3.59E-05,0,0
0b669a8fd92184b351f4da45cb38cc4244a4582c,1,1,1,0,1,1,26,0,1,1016,1,33,3.75E-05,0,0
4984f06937acfd2933376fdbbca7ff312fddbd5e,1,1,2,0.863120569,4,3,112,0,2,15100.5,2,32,3.82E-05,0,0
732d0cb28c090fa8badf808c769f34dfd6882583,1,1,3,1.322179346,2,31,3581,0,1,22148.33333,3,31,3.95E-05,0,0
4490a0dc472eca3a894b69c9ba8fba0bdbda4568,1,1,3,1.290564433,13,12,26792,0,1,6879,3,30,4.09E-05,0,0
4176bffd12d300fe6eae1effd6dac34d7f34a0da,1,1,2,0.591672779,7,7,5216,0,1,3529,2,29,4.07E-05,0,0
9894a3e648d72b74299a8058272e43d39500376c,1,1,2,0.543564443,8,8,5216,0,1,552,2,28,3.46E-05,0,0
97056e7de59bbc9c57786a5fdd1be191f7bd1822,1,1,1,0,2,1,2061,0,1,82952,1,27,3.34E-05,0,0
b3ccd67aa1e9bb6f455d334dbe49550c906e1283,1,1,1,0,14,7,3147,0,2,253033,1,26,3.33E-05,0,0
8d89a36a11d62a717739bc6f7607c4c8da0b698f,1,1,1,0,8,5,21573,0,2,203039,1,25,3.32E-05,0,0
b77d828cbbc608442f5703d58af19d74966c8e84,1,1,1,0,9,5,22,0,1,80405,1,24,2.34E-05,0,0
3962a9b5fe1a2f6fc95e4bc14700befe4037660f,1,1,1,0,1,1,14,0,1,75798,1,23,2.32E-05,0,0
1af6d3d921159ede37670743dadf4089c810f1e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586f0d4b75ad3f54b132fde29c609d6c46e2887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfa0651b61665a66a8af0147dd2ab04ff615a1a8,1,1,2,1,2,0,6103,0,0,0,0,1,1.99E-05,0,0
edff866a7b124f2b1cb1cf9bb3a56c0bd4b74c51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73a8e103ab4838435cbd71dbc68a19d65254e9bd,1,1,2,0.738284866,5,19,20,0,1,43607,1,22,1.84E-05,0,0
9cfd186cfc772099bc0bc97f75e2bdeeb0d4ef35,1,1,1,0,1,0,308,0,0,0,0,21,1.64E-05,0,0
8532aa5af50901e8a7149e29d6555d4f0b79d9f5,1,1,1,0,1,1,1474,0,1,19611,1,20,2.85E-05,0,0
f0ad642200f13f8211bb1b8c0758f22e7a7951b0,1,1,5,1.949392303,39,20,1402,0,1,104903,2,19,3.01E-05,0,0
05815edfc2ed754a6af924e7ed508d8b091a7be3,1,1,1,0,2,3,147,0,2,56600,1,449,3.63E-05,0,0
